venue_id,venue_name,city,admin_area_1,admin_area_2,nation,nation_code,continent,hemisphere,home_team_id_1,home_team_id_2,latitude,longitude,elevation,dist2coast_coarse,dist2coast_fine,timezone,utc_offset_str
2irl117,YMCA Cricket Club,Dublin,Leinster,,Ireland,IRL,Europe,N,irlMT20,irlFT20,53.330196,-6.219898,3,0,0.6556542360196483,Europe/Dublin,+00:00
3irl118,Castle Avenue,Dublin,Leinster,,Ireland,IRL,Europe,N,irlMT20,irlFT20,53.368061,-6.207158,17,2,0.9225123858747368,Europe/Dublin,+00:00
4irl119,Pembroke Cricket Club,Dublin,Leinster,,Ireland,IRL,Europe,N,irlMT20,irlFT20,53.325001,-6.215088,0,0,0.5422937007955504,Europe/Dublin,+00:00
5irl120,Sydney Parade,Dublin,Leinster,,Ireland,IRL,Europe,N,irlMT20,irlFT20,53.324942,-6.215126,-1,1,0.5467311326770594,Europe/Dublin,+00:00
16eng121,County Ground,Northampton,England,Northamptonshire,England,ENG,Europe,N,engMT20,engFT20,52.2483484,-0.8711225,97,92,89.54927413829414,Europe/London,+00:00
1chn122,Zhejiang University of Technology Cricket Field,Hangzhou,Zhejiang Sheng,"",China,CHN,Asia,N,,,30.228441,120.031334,9,11,62.165208616401344,Asia/Shanghai,+08:00
6ind123,Wankhede Stadium,Mumbai,Maharashtra,Raigarh,India,IND,Asia,N,indMT20,indFT20,18.9385497,72.8257408,11,1,0.19836924805502243,Asia/Kolkata,+05:30
7ind124,Greenfield International Stadium,Thiruvananthapuram,Kerala,Thiruvananthapuram,India,IND,Asia,N,indMT20,indFT20,8.571526,76.88434,43,4,4.1756050474939,Asia/Kolkata,+05:30
8ind125,Barsapara Cricket Stadium,Guwahati,Assam,Kamrup Metropolitan,India,IND,Asia,N,indMT20,indFT20,26.145234,91.736495,52,376,,Asia/Kolkata,+05:30
17eng126,County Ground,Derby,England,Derby,England,ENG,Europe,N,engMT20,engFT20,52.927498,-1.461175,44,93,92.20521265850773,Europe/London,+00:00
9ind127,Shaheed Veer Narayan Singh International Stadium,Raipur,Chhattisgarh,Raipur,India,IND,Asia,N,indMT20,indFT20,21.203448,81.823969,299,382,,Asia/Kolkata,+05:30
1grd128,National Cricket Stadium,St George's,Saint George,"",Grenada,GRD,America,N,wiMT20,wiFT20,12.0590386,-61.7522388,10,2,0.2601978179495227,America/Grenada,-04:00
10ind129,M. Chinnaswamy Stadium,Bengaluru,Karnataka,Bangalore Urban,India,IND,Asia,N,indMT20,indFT20,12.9788127,77.5995775,925,264,265.56268605215183,Asia/Kolkata,+05:30
11ind130,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Andhra Pradesh,Vishakhapatnam,India,IND,Asia,N,indMT20,indFT20,17.797462,83.352235,58,3,3.8100186327270587,Asia/Kolkata,+05:30
12ind131,Niranjan Shah Stadium,Rajkot,Gujarat,Rajkot,India,IND,Asia,N,indMT20,indFT20,22.3627855,70.7100844,110,57,58.6698701240618,Asia/Kolkata,+05:30
13ind132,JSCA International Stadium Complex,Ranchi,Jharkhand,Ranchi,India,IND,Asia,N,indMT20,indFT20,23.3104521,85.2748774,677,271,274.05938639106193,Asia/Kolkata,+05:30
14ind133,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,Lucknow District,India,IND,Asia,N,indMT20,indFT20,26.8112572,81.0167842,112,849,,Asia/Kolkata,+05:30
15ind134,Narendra Modi Stadium,Ahmedabad,Gujarat,Ahmadabad,India,IND,Asia,N,indMT20,indFT20,23.0917717,72.5973345,62,86,82.03078175997632,Asia/Kolkata,+05:30
16ind135,Maharashtra Cricket Association Stadium,Pune,Maharashtra,Pune Division,India,IND,Asia,N,indMT20,indFT20,18.674507,73.706597,590,74,78.00911089228528,Asia/Kolkata,+05:30
17ind136,Holkar Cricket Stadium,Indore,Madhya Pradesh,Indore,India,IND,Asia,N,indMT20,indFT20,22.7242512,75.8796703,550,310,,Asia/Kolkata,+05:30
18ind137,Brabourne Stadium,Mumbai,Maharashtra,Raigarh,India,IND,Asia,N,indMT20,indFT20,18.9319276,72.8249626,10,0,0.2248079985256506,Asia/Kolkata,+05:30
1nir138,Civil Service Cricket Club,Belfast,Northern Ireland,Castlereagh District,Northern Ireland,NIR,Europe,N,irlMT20,irlFT20,54.595874,-5.832243,25,5,3.3702759755334926,Europe/London,+00:00
19ind139,Vidarbha Cricket Association Stadium,Nagpur,Maharashtra,Nagpur Division,India,IND,Asia,N,indMT20,indFT20,21.0135768,79.039632,291,555,,Asia/Kolkata,+05:30
1dma140,Windsor Park,Roseau,Saint George,"",Dominica,DMA,America,N,wiMT20,wiFT20,15.3018698,-61.3844608,16,2,0.6600257739838857,America/Dominica,-04:00
